assignment_id,employee_id,contract_id,role,start_date
1,1001,5,Reviewer,2022-03-22
2,1001,7,Lead,2023-09-13
3,1001,9,Lead,2023-01-01
4,1002,9,Support,2023-01-01
5,1003,3,Contributor,2022-06-24
6,1004,1,Reviewer,2021-11-01
7,1005,2,Reviewer,2022-12-03
8,1006,4,Contributor,2022-11-07
9,1007,5,Lead,2022-03-22
10,1007,2,Reviewer,2022-12-03
11,1007,3,Reviewer,2022-06-24
12,1008,9,Reviewer,2023-01-01
13,1009,3,Reviewer,2022-06-24
14,1009,2,Lead,2022-12-03
15,1009,6,Support,2021-03-28
16,1010,10,Lead,2022-09-18
17,1010,4,Contributor,2022-11-07
18,1011,5,Lead,2022-03-22
19,1011,9,Support,2023-01-01
20,1012,6,Support,2021-03-28
21,1013,3,Contributor,2022-06-24
22,1014,2,Support,2022-12-03
23,1014,10,Lead,2022-09-18
24,1015,2,Lead,2022-12-03
25,1015,4,Contributor,2022-11-07
26,1015,1,Support,2021-11-01
27,1016,4,Contributor,2022-11-07
28,1017,7,Support,2023-09-13
29,1017,2,Support,2022-12-03
30,1018,5,Reviewer,2022-03-22
31,1018,3,Contributor,2022-06-24
32,1018,4,Contributor,2022-11-07
33,1019,1,Reviewer,2021-11-01
34,1019,3,Support,2022-06-24
35,1020,4,Contributor,2022-11-07
36,1020,7,Support,2023-09-13
37,1020,9,Support,2023-01-01
38,1021,10,Reviewer,2022-09-18
39,1021,2,Reviewer,2022-12-03
40,1022,3,Reviewer,2022-06-24
41,1022,6,Lead,2021-03-28
42,1022,2,Reviewer,2022-12-03
43,1023,2,Contributor,2022-12-03
44,1023,4,Contributor,2022-11-07
45,1024,2,Support,2022-12-03
46,1024,7,Support,2023-09-13
47,1025,8,Reviewer,2021-07-02
48,1025,10,Contributor,2022-09-18
49,1025,6,Contributor,2021-03-28
50,1026,10,Support,2022-09-18
51,1027,9,Support,2023-01-01
52,1028,9,Reviewer,2023-01-01
53,1028,6,Contributor,2021-03-28
54,1028,1,Reviewer,2021-11-01
55,1029,4,Support,2022-11-07
56,1030,8,Support,2021-07-02
57,1030,6,Reviewer,2021-03-28
58,1030,2,Reviewer,2022-12-03
59,1031,10,Contributor,2022-09-18
60,1032,8,Support,2021-07-02
61,1032,4,Support,2022-11-07
62,1032,5,Lead,2022-03-22
63,1033,8,Support,2021-07-02
64,1034,5,Reviewer,2022-03-22
65,1034,9,Lead,2023-01-01
66,1035,4,Lead,2022-11-07
67,1036,9,Contributor,2023-01-01
68,1036,1,Contributor,2021-11-01
69,1036,8,Contributor,2021-07-02
70,1037,5,Support,2022-03-22
71,1038,9,Reviewer,2023-01-01
72,1039,6,Support,2021-03-28
73,1039,10,Contributor,2022-09-18
74,1040,4,Support,2022-11-07
75,1040,7,Lead,2023-09-13
76,1041,1,Reviewer,2021-11-01
77,1041,10,Contributor,2022-09-18
78,1041,7,Contributor,2023-09-13
79,1042,2,Contributor,2022-12-03
80,1043,4,Lead,2022-11-07
81,1043,2,Lead,2022-12-03
82,1043,3,Reviewer,2022-06-24
83,1044,2,Contributor,2022-12-03
84,1045,10,Contributor,2022-09-18
85,1045,9,Support,2023-01-01
86,1045,8,Contributor,2021-07-02
87,1046,5,Reviewer,2022-03-22
88,1047,5,Lead,2022-03-22
89,1047,1,Support,2021-11-01
90,1048,6,Contributor,2021-03-28
91,1048,7,Support,2023-09-13
92,1049,2,Reviewer,2022-12-03
93,1050,2,Reviewer,2022-12-03
94,1050,3,Contributor,2022-06-24
95,1050,4,Support,2022-11-07
96,1051,6,Contributor,2021-03-28
97,1052,7,Lead,2023-09-13
98,1053,4,Lead,2022-11-07
99,1054,2,Support,2022-12-03
100,1054,4,Reviewer,2022-11-07
101,1055,7,Lead,2023-09-13
102,1055,4,Reviewer,2022-11-07
103,1055,1,Contributor,2021-11-01
104,1056,6,Lead,2021-03-28
105,1056,8,Contributor,2021-07-02
106,1056,4,Lead,2022-11-07
107,1057,4,Support,2022-11-07
108,1057,8,Contributor,2021-07-02
109,1057,5,Reviewer,2022-03-22
110,1058,9,Lead,2023-01-01
111,1059,7,Support,2023-09-13
112,1059,6,Support,2021-03-28
113,1060,2,Contributor,2022-12-03
114,1061,10,Contributor,2022-09-18
115,1061,5,Lead,2022-03-22
116,1062,10,Contributor,2022-09-18
117,1062,6,Lead,2021-03-28
118,1062,8,Support,2021-07-02
119,1063,3,Contributor,2022-06-24
120,1063,7,Lead,2023-09-13
121,1063,6,Support,2021-03-28
122,1064,6,Lead,2021-03-28
123,1065,4,Reviewer,2022-11-07
124,1066,5,Lead,2022-03-22
125,1067,6,Support,2021-03-28
126,1067,7,Reviewer,2023-09-13
127,1068,1,Lead,2021-11-01
128,1068,10,Support,2022-09-18
129,1068,5,Lead,2022-03-22
130,1069,9,Contributor,2023-01-01
131,1070,4,Contributor,2022-11-07
132,1070,9,Lead,2023-01-01
133,1070,8,Lead,2021-07-02
134,1071,1,Lead,2021-11-01
135,1072,1,Reviewer,2021-11-01
136,1072,5,Support,2022-03-22
137,1073,10,Lead,2022-09-18
138,1073,1,Contributor,2021-11-01
139,1073,9,Support,2023-01-01
140,1074,1,Lead,2021-11-01
